                              Размер входных данных          Время работы в миллисекундах   Количество итераций
test_000.txt                   10000                          177.4024                       129841                        
test_001.txt                   9974                           85.905                         129137                        
test_002.txt                   9866                           64.1622                        127455                        
test_003.txt                   9852                           51.1369                        127588                        
test_004.txt                   9797                           42.4235                        126507                        
test_005.txt                   9755                           48.6807                        126127                        
test_006.txt                   9618                           44.7417                        124248                        
test_007.txt                   9505                           27.2471                        122202                        
test_008.txt                   9378                           21.0457                        120507                        
test_009.txt                   9298                           22.3341                        119473                        
test_010.txt                   9251                           21.8169                        118629                        
test_011.txt                   9241                           22.9717                        118626                        
test_012.txt                   9228                           23.959                         118362                        
test_013.txt                   9154                           24.9484                        117731                        
test_014.txt                   9030                           25.1311                        115453                        
test_015.txt                   8980                           29.1941                        115020                        
test_016.txt                   8859                           30.637                         113040                        
test_017.txt                   8815                           26.0522                        112314                        
test_018.txt                   8776                           29.5744                        111751                        
test_019.txt                   8698                           23.4303                        110707                        
test_020.txt                   8579                           30.2768                        109237                        
test_021.txt                   8570                           30.0877                        109188                        
test_022.txt                   8478                           29.1317                        107756                        
test_023.txt                   8456                           22.2491                        107388                        
test_024.txt                   8430                           18.3516                        107019                        
test_025.txt                   8325                           18.2125                        105363                        
test_026.txt                   8254                           18.091                         104557                        
test_027.txt                   8130                           20.9224                        102664                        
test_028.txt                   8102                           20.3749                        102173                        
test_029.txt                   7990                           18.4383                        100527                        
test_030.txt                   7892                           17.1838                        99342                         
test_031.txt                   7822                           16.8246                        98354                         
test_032.txt                   7751                           16.7177                        97361                         
test_033.txt                   7747                           16.8184                        97370                         
test_034.txt                   7609                           19.0096                        95438                         
test_035.txt                   7498                           18.0237                        93842                         
test_036.txt                   7365                           19.3016                        92335                         
test_037.txt                   7355                           16.273                         92073                         
test_038.txt                   7329                           19.5127                        91904                         
test_039.txt                   7247                           16.2692                        90575                         
test_040.txt                   7119                           15.3247                        88790                         
test_041.txt                   6981                           17.1592                        86840                         
test_042.txt                   6836                           18.6192                        84633                         
test_043.txt                   6726                           14.5011                        83374                         
test_044.txt                   6581                           14.2656                        81335                         
test_045.txt                   6438                           18.3735                        79301                         
test_046.txt                   6355                           14.1863                        78085                         
test_047.txt                   6307                           13.748                         77417                         
test_048.txt                   6257                           14.0641                        76646                         
test_049.txt                   6185                           14.5962                        75742                         
test_050.txt                   6049                           14.2759                        74061                         
test_051.txt                   6039                           13.365                         73955                         
test_052.txt                   5965                           17.0951                        72830                         
test_053.txt                   5837                           13.1107                        71036                         
test_054.txt                   5782                           13.1102                        70420                         
test_055.txt                   5777                           19.4568                        70435                         
test_056.txt                   5715                           20.8787                        69311                         
test_057.txt                   5622                           17.2627                        68332                         
test_058.txt                   5604                           19.0749                        67975                         
test_059.txt                   5504                           13.1677                        66494                         
test_060.txt                   5434                           11.5662                        65526                         
test_061.txt                   5331                           11.3435                        63987                         
test_062.txt                   5317                           11.3495                        64125                         
test_063.txt                   5296                           12.7512                        63595                         
test_064.txt                   5181                           13.6036                        62164                         
test_065.txt                   5049                           13.9895                        60501                         
test_066.txt                   5012                           13.3866                        59945                         
test_067.txt                   4937                           12.8498                        59098                         
test_068.txt                   4814                           10.5752                        57171                         
test_069.txt                   4681                           12.9953                        55352                         
test_070.txt                   4640                           10.4672                        54748                         
test_071.txt                   4550                           10.63                          53709                         
test_072.txt                   4506                           10.4668                        53107                         
test_073.txt                   4378                           12.9213                        51408                         
test_074.txt                   4370                           11.6829                        51285                         
test_075.txt                   4358                           9.599                          51134                         
test_076.txt                   4355                           9.5                            51083                         
test_077.txt                   4237                           10.0183                        49473                         
test_078.txt                   4137                           8.7914                         48333                         
test_079.txt                   4078                           8.9867                         47416                         
test_080.txt                   4001                           9.2843                         46486                         
test_081.txt                   3887                           9.3817                         44933                         
test_082.txt                   3834                           8.2129                         44419                         
test_083.txt                   3722                           7.9543                         42952                         
test_084.txt                   3578                           7.92                           40936                         
test_085.txt                   3464                           9.1402                         39539                         
test_086.txt                   3350                           9.0837                         38161                         
test_087.txt                   3333                           8.5767                         37886                         
test_088.txt                   3235                           9.7545                         36531                         
test_089.txt                   3205                           7.2614                         36406                         
test_090.txt                   3173                           6.927                          35882                         
test_091.txt                   3168                           6.9896                         35896                         
test_092.txt                   3116                           6.9681                         35016                         
test_093.txt                   3035                           6.9559                         34119                         
test_094.txt                   3026                           7.0989                         33945                         
test_095.txt                   2946                           6.432                          33093                         
test_096.txt                   2897                           6.9988                         32320                         
test_097.txt                   2893                           7.5256                         32389                         
test_098.txt                   2891                           6.5511                         32097                         
test_099.txt                   2874                           8.8245                         32206                         
