Элемент массива                Время в миллисекундах          Количество операций
-1950326780                    31901                          15                            
1516236438                     5300                           16                            
1895693722                     5800                           20                            
-385008992                     7100                           22                            
-791737560                     4400                           15                            
-795473756                     3001                           12                            
-1482534546                    4600                           16                            
-1377625891                    4300                           20                            
-184606367                     4100                           18                            
-1919948214                    3700                           15                            
1052605869                     4200                           16                            
-1017175564                    4599                           15                            
1698473984                     5400                           30                            
1699812216                     4301                           21                            
1603988407                     4201                           20                            
153580502                      4200                           20                            
2035617270                     4000                           19                            
439501965                      3900                           17                            
-1497952838                    3600                           16                            
981299228                      5999                           16                            
244618602                      3300                           11                            
98844701                       4799                           26                            
817918760                      4299                           20                            
1758227749                     4301                           22                            
-2041261057                    3599                           15                            
-309611488                     4601                           21                            
357951545                      3600                           15                            
60033947                       4600                           22                            
879996888                      4400                           22                            
-1861425667                    4000                           17                            
1185879296                     5100                           21                            
282960009                      6499                           21                            
-1601353605                    6600                           18                            
1121181513                     4100                           16                            
-584233648                     4501                           21                            
187348221                      4701                           25                            
1771187793                     4000                           20                            
-1232912249                    17700                          17                            
-292706669                     4501                           16                            
525898651                      4699                           18                            
1190594627                     4301                           16                            
-1946909453                    4100                           18                            
-1918594400                    4000                           18                            
-53275992                      5500                           15                            
815963431                      4599                           19                            
1640286657                     4400                           15                            
470406970                      4000                           14                            
1768087811                     5900                           27                            
2112414565                     5100                           22                            
330213612                      4701                           13                            
206292024                      4600                           13                            
426107508                      5000                           20                            
1912670991                     5901                           25                            
545336046                      4900                           22                            
-325515468                     5999                           23                            
-43650668                      4601                           22                            
1788698136                     4300                           21                            
191365308                      3100                           10                            
-1375174443                    4000                           18                            
436046384                      3499                           16                            
-1037584208                    3200                           12                            
1204954381                     6699                           19                            
642397224                      4000                           18                            
2056862130                     4299                           23                            
229037253                      3099                           13                            
-528098368                     3700                           15                            
46896298                       3700                           17                            
272555224                      2999                           12                            
964518550                      3700                           17                            
-53275992                      3000                           15                            
-1917745529                    3500                           19                            
-745561908                     3700                           15                            
31861828                       4100                           21                            
-306570395                     4200                           18                            
-1581625380                    3100                           10                            
2045444135                     4500                           24                            
613175643                      3400                           12                            
1452745475                     3899                           19                            
-673893504                     3399                           11                            
110452893                      17900                          18                            
1744240783                     1100                           22                            
1365256428                     1000                           19                            
1963037994                     1000                           20                            
1197614695                     699                            15                            
-614427661                     900                            13                            
327557868                      800                            17                            
-1580072169                    700                            10                            
2129680616                     1101                           26                            
-720955345                     900                            17                            
-400091266                     1100                           19                            
1854812859                     800                            26                            
-316413002                     800                            13                            
-1519618696                    800                            22                            
-661895748                     1000                           12                            
-729063083                     600                            16                            
-322849505                     900                            22                            
-1013308222                    1200                           14                            
1201723761                     900                            18                            
138544575                      901                            22                            
-1093876176                    1200                           15                            
-1066704838                    900                            23                            
-2035374156                    1600                           14                            
571900866                      1600                           20                            
923044549                      1200                           18                            
-2062900687                    1400                           18                            
292602295                      1000                           17                            
-2063749121                    400                            15                            
251165155                      700                            14                            
1297463229                     800                            25                            
153449333                      901                            19                            
104135757                      899                            19                            
-851613432                     1100                           18                            
-66525109                      1000                           16                            
-1600536462                    899                            20                            
636916929                      899                            15                            
-811045869                     1300                           10                            
457475895                      800                            16                            
-14605374                      1300                           17                            
-1427593241                    1301                           15                            
1197772381                     801                            17                            
1378168488                     1700                           18                            
1360209692                     800                            15                            
1433238786                     999                            22                            
-538904658                     900                            16                            
-249713323                     800                            20                            
1184325991                     1400                           19                            
-1181128758                    1000                           15                            
1632874749                     2701                           22                            
325405504                      700                            14                            
251149721                      500                            13                            
32364548                       700                            22                            
-1644067428                    701                            15                            
-2136036481                    701                            13                            
-2076984033                    600                            16                            
1812242963                     600                            23                            
814040564                      800                            18                            
-369949413                     700                            15                            
16770965                       901                            21                            
-1743445838                    1101                           14                            
95803756                       800                            24                            
895014596                      1000                           26                            
-820129155                     801                            19                            
-912032350                     1000                           18                            
1508268130                     1000                           23                            
915029643                      700                            13                            
520407246                      800                            17                            
1931829745                     899                            21                            
477025144                      800                            17                            
-990530876                     900                            15                            
1103726131                     800                            17                            
-1766412419                    800                            16                            
1488514657                     800                            21                            
-1308847771                    1000                           19                            
-1906314851                    800                            18                            
-883450873                     800                            13                            
-1089670598                    800                            18                            
720789581                      1299                           19                            
-1555582134                    1400                           13                            
-256953708                     1300                           21                            
1659995729                     1101                           19                            
-1859828136                    1499                           11                            
-91154310                      800                            18                            
679536524                      1000                           19                            
-1570762340                    1200                           15                            
-1576696275                    1099                           16                            
1026505019                     1000                           17                            
-1315567036                    900                            17                            
1930586690                     700                            19                            
740470186                      1200                           13                            
-2135264155                    701                            14                            
1308882471                     1000                           16                            
484948476                      900                            19                            
-287645085                     900                            20                            
144975787                      1101                           22                            
-847254059                     1100                           14                            
-1351259241                    1300                           17                            
1356137151                     1301                           18                            
