Элемент массива                Время в миллисекундах          Количество операций
1771187793                     16700                          0                             
895014596                      2101                           1                             
1134770333                     1700                           1                             
-214628167                     1700                           3                             
-1064376379                    1800                           4                             
-1787749645                    1901                           5                             
1171669729                     1500                           1                             
515815603                      14401                          6                             
-1897084202                    2600                           6                             
2002291896                     1800                           1                             
-912032350                     2200                           4                             
1500941676                     2200                           3                             
792340951                      1800                           2                             
-1407788492                    5099                           6                             
-240556409                     7600                           5                             
-1350452074                    2000                           4                             
-629894864                     2500                           6                             
-514489324                     2500                           6                             
761406061                      2101                           3                             
-1892265494                    2500                           7                             
1911638897                     2200                           2                             
-1703276011                    2399                           6                             
-1238732386                    5900                           8                             
2087182667                     1899                           1                             
809603755                      5100                           6                             
-678392886                     11800                          6                             
-1773718718                    2699                           5                             
-926238933                     2999                           4                             
-1659370757                    3800                           9                             
190724508                      3301                           6                             
-1342493676                    3400                           7                             
1856973613                     7200                           8                             
1652171366                     2700                           2                             
1894838802                     3100                           4                             
497419353                      3800                           7                             
-1957889780                    3800                           10                            
-1159589396                    7100                           11                            
-880838829                     2901                           8                             
637579534                      2600                           6                             
-1225735238                    2800                           8                             
-39732265                      6100                           9                             
-709646104                     7399                           12                            
538623072                      2500                           5                             
165422796                      3100                           9                             
-1038478509                    11200                          5                             
-675312187                     3200                           6                             
-184606367                     3299                           11                            
248183316                      7201                           12                            
1886271811                     3100                           6                             
36338313                       2699                           7                             
1478405880                     2601                           5                             
773237647                      2800                           6                             
948148817                      9201                           8                             
-967583740                     2800                           5                             
1862870552                     3099                           7                             
1486541697                     2599                           5                             
-73573817                      3200                           9                             
-1182970374                    6400                           8                             
64849715                       3701                           7                             
1712088798                     5700                           7                             
-84762467                      3299                           12                            
-469346778                     7800                           8                             
-949140751                     3600                           6                             
-643355668                     5800                           7                             
730110546                      4899                           9                             
1084193665                     2799                           6                             
-812301795                     2900                           6                             
-1741990619                    3101                           8                             
242369791                      4800                           10                            
-1361327677                    3801                           8                             
-821364513                     4100                           7                             
-1252039071                    4100                           10                            
1515542312                     4600                           5                             
-1913966295                    3900                           13                            
1561000240                     3100                           5                             
1810417716                     6200                           8                             
-1357588011                    2899                           8                             
1873863289                     2600                           4                             
-1741047671                    7100                           12                            
-1030771308                    2800                           8                             
-548452512                     2800                           6                             
-166402237                     7599                           13                            
132021469                      7999                           9                             
1814638527                     3000                           7                             
172442513                      2400                           5                             
-1801422232                    3499                           13                            
-1800690486                    3400                           13                            
1303168091                     3600                           5                             
475742439                      3000                           7                             
57205984                       3299                           9                             
-171524342                     3001                           9                             
1722315230                     2800                           4                             
868329272                      2299                           3                             
373613239                      5800                           8                             
-487185105                     3500                           6                             
-577149393                     6900                           8                             
-1865920644                    10000                          16                            
277140568                      7300                           8                             
-1727984241                    6500                           11                            
-773532787                     3000                           8                             
-311465756                     2700                           5                             
-1574551539                    3700                           10                            
-861255556                     3400                           11                            
-1702414416                    3300                           12                            
1965366065                     3100                           4                             
1946118085                     2701                           5                             
-1971512136                    3100                           12                            
-246517459                     2600                           5                             
-873956796                     6600                           11                            
2095576856                     2100                           2                             
-383322329                     2899                           7                             
-1999288546                    3400                           13                            
695181040                      3400                           9                             
-2035282552                    3200                           14                            
