Элемент массива                Время в миллисекундах          Количество операций
-1156793213                    14300                          14                            
-419595715                     4900                           13                            
-1490449772                    4599                           11                            
933799668                      5000                           18                            
342858336                      4900                           13                            
1969521207                     5201                           18                            
825551107                      5100                           17                            
1162279884                     5400                           17                            
384734976                      5400                           22                            
313034542                      3300                           12                            
587729833                      4500                           19                            
-774043716                     4700                           17                            
-1410793830                    4200                           15                            
-164573386                     4201                           12                            
-180465478                     7300                           15                            
-958823425                     2801                           7                             
-408509323                     4200                           15                            
-1952685357                    4301                           10                            
1425906387                     5099                           19                            
34269961                       5700                           23                            
1961569315                     4700                           18                            
-1077044220                    4700                           18                            
-1765813699                    7600                           17                            
-735296343                     4600                           10                            
-45002291                      5301                           22                            
-2097985447                    3399                           9                             
59341264                       4800                           19                            
327848375                      4501                           18                            
315813868                      4100                           16                            
-431380089                     3699                           11                            
1422922608                     4400                           18                            
140923945                      5501                           22                            
-348557663                     4900                           16                            
1752784831                     4600                           20                            
1131540624                     4299                           16                            
1436046714                     4300                           17                            
-383655367                     5001                           24                            
-1753151298                    4400                           16                            
1544854342                     3200                           11                            
-1777746155                    3500                           10                            
1980664583                     3899                           18                            
402941951                      3500                           11                            
1612562510                     4599                           19                            
-1950326780                    4301                           14                            
-1323342874                    18500                          14                            
331529720                      4100                           12                            
994703277                      4900                           17                            
-1490645650                    3001                           9                             
-461087674                     5500                           19                            
-543512491                     5499                           14                            
-659662413                     4400                           13                            
-2008250678                    4400                           14                            
212822037                      4199                           13                            
163644953                      5701                           26                            
1223470451                     4700                           19                            
-1706309361                    4700                           16                            
-910074743                     5401                           12                            
1186980820                     4199                           13                            
-1350116558                    4200                           15                            
994703277                      4000                           17                            
-1348457135                    4000                           17                            
-2085279411                    3600                           10                            
-1682477140                    4000                           12                            
1137541401                     4499                           17                            
173884009                      5400                           26                            
950441307                      3900                           11                            
-498907326                     4800                           18                            
1671136511                     5101                           20                            
83447624                       6100                           25                            
-1037437114                    18599                          8                             
-674322415                     1300                           12                            
600072005                      1500                           20                            
-688188899                     1200                           17                            
-698149089                     899                            15                            
-403407837                     699                            14                            
598675047                      1200                           26                            
-1415507675                    1100                           13                            
-1954118724                    699                            8                             
653825075                      1600                           16                            
1159670717                     1300                           15                            
386544070                      1000                           19                            
300229179                      1000                           20                            
1873921673                     1901                           14                            
656339064                      900                            16                            
-712907647                     1099                           13                            
-1916908964                    1300                           17                            
-219316635                     1000                           24                            
683486010                      1699                           22                            
-1057444324                    800                            4                             
-1132337494                    1400                           16                            
-1013026078                    1000                           16                            
1121101329                     899                            13                            
-1051321472                    899                            10                            
-1898026323                    1400                           16                            
383790604                      1500                           19                            
-754819263                     1599                           11                            
-1878103741                    1200                           16                            
-198689428                     1299                           9                             
1375167920                     2000                           17                            
703993204                      1499                           17                            
Среднее время поиска: 3971.92            Среднее кол-во операций при поиске: 15.69
